FID,TBBH,POINT_X,POINT_Y
69,1296,40452750.282399997000000,3580554.647200000000000
70,972,40456582.222099997000000,3582079.527700000000000
71,972,40456552.793099999000000,3582060.404800000100000
72,972,40456497.601899996000000,3582121.263100000100000
73,972,40456546.655299999000000,3582150.191999999800000
74,972,40456574.386799999000000,3582172.682200000200000
75,972,40456594.999100000000000,3582189.398600000000000
76,972,40456605.148400001000000,3582197.629800000200000
77,972,40456618.529200003000000,3582208.481600000100000
78,972,40456658.181000002000000,3582128.885499999900000
79,972,40456642.844999999000000,3582118.920299999900000
80,972,40456632.083600000000000,3582111.927500000200000
81,972,40456610.627300002000000,3582097.985299999800000
82,972,40456582.222099997000000,3582079.527700000000000
83,989,40453115.108999997000000,3582232.241100000200000
84,989,40453115.125000000000000,3582178.365000000200000
85,989,40453115.361800000000000,3582167.714499999800000
86,989,40453117.019299999000000,3582158.010600000200000
87,989,40453117.313299999000000,3582152.693599999900000
88,989,40453119.579700001000000,3582125.296099999900000
89,989,40453117.539600000000000,3582106.944500000200000
90,989,40453117.432899997000000,3582100.105500000100000
91,989,40453116.778399996000000,3582080.086699999900000
92,989,40453118.346500002000000,3582062.341000000000000
93,989,40453118.084700003000000,3582058.154099999900000
94,989,40453119.266700000000000,3582047.898699999800000
95,989,40453120.844700001000000,3582009.630200000000000
96,989,40453120.582800001000000,3581993.144100000200000
97,989,40453121.359600000000000,3581980.829700000100000
98,989,40453122.796499997000000,3581947.395899999900000
99,989,40453126.458400004000000,3581886.462100000100000
100,989,40453020.301500000000000,3581881.372400000200000
101,989,40453022.754299998000000,3581767.074399999800000
102,989,40452882.097000003000000,3581761.495199999800000
103,989,40452633.575499997000000,3581751.637600000000000
104,989,40452530.807499997000000,3581747.561300000200000
105,989,40452530.556800000000000,3581753.578400000000000
106,989,40452411.966899998000000,3581745.976499999900000
107,989,40452407.949199997000000,3581810.705399999900000
108,989,40452402.384800002000000,3581900.350000000100000
109,989,40452398.926799998000000,3581956.059100000200000
110,989,40452389.524499997000000,3582107.535000000100000
111,989,40452382.501400001000000,3582220.681499999900000
112,989,40452382.182800002000000,3582225.813500000200000
113,989,40452381.317100003000000,3582239.760600000200000
